DATE,CS_Index
2/1/2011,137.742
3/1/2011,137.792
4/1/2011,139.158
5/1/2011,140.688
6/1/2011,141.94
7/1/2011,142.337
8/1/2011,141.781
9/1/2011,140.164
10/1/2011,138.407
11/1/2011,136.663
12/1/2011,135.165
1/1/2012,134.165
2/1/2012,133.995
3/1/2012,135.865
4/1/2012,138.474
5/1/2012,141.051
6/1/2012,143.169
7/1/2012,144.279
8/1/2012,144.701
9/1/2012,144.357
10/1/2012,143.97
11/1/2012,143.965
12/1/2012,143.873
1/1/2013,144.314
2/1/2013,145.161
3/1/2013,147.963
4/1/2013,150.978
5/1/2013,153.872
6/1/2013,156.44
7/1/2013,158.299
8/1/2013,159.406
9/1/2013,159.681
10/1/2013,159.558
11/1/2013,159.362
12/1/2013,159.282
1/1/2014,159.379
2/1/2014,159.889
3/1/2014,161.208
4/1/2014,162.987
5/1/2014,164.7
6/1/2014,166.223
7/1/2014,167.141
8/1/2014,167.455
9/1/2014,167.25
10/1/2014,166.922
11/1/2014,166.676
12/1/2014,166.485
1/1/2015,166.283
2/1/2015,166.671
3/1/2015,168.128
4/1/2015,170.002
5/1/2015,171.877
6/1/2015,173.472
7/1/2015,174.513
8/1/2015,174.958
9/1/2015,175.071
10/1/2015,175.082
11/1/2015,175.181
12/1/2015,175.159
1/1/2016,175.078
2/1/2016,175.32
3/1/2016,176.636
4/1/2016,178.524
5/1/2016,180.372
6/1/2016,181.95
7/1/2016,183.06
8/1/2016,183.704
9/1/2016,184
10/1/2016,184.081
11/1/2016,184.299
12/1/2016,184.476
1/1/2017,184.73
2/1/2017,185.098
3/1/2017,186.597
4/1/2017,188.596
5/1/2017,190.592
6/1/2017,192.334
7/1/2017,193.592
8/1/2017,194.433
9/1/2017,194.904
10/1/2017,195.168
11/1/2017,195.532
12/1/2017,195.929
1/1/2018,196.201
2/1/2018,196.993
3/1/2018,198.66
4/1/2018,200.7
5/1/2018,202.539
6/1/2018,204.134
7/1/2018,205.044
8/1/2018,205.425
9/1/2018,205.478
10/1/2018,205.483
11/1/2018,205.228
12/1/2018,204.829
1/1/2019,204.348
2/1/2019,204.585
3/1/2019,205.933
4/1/2019,207.843
5/1/2019,209.509
6/1/2019,210.76
7/1/2019,211.522
8/1/2019,211.882
9/1/2019,212.057
10/1/2019,212.144
11/1/2019,212.274
12/1/2019,212.39
1/1/2020,212.459
2/1/2020,213.251
3/1/2020,215.224
4/1/2020,217.359
5/1/2020,218.618
6/1/2020,219.873
7/1/2020,221.626
8/1/2020,223.97
